LADDLE_TEMP,CASTING_TEMP,AVG_POWER_PER_HEAT_KW,POWER_CONSUMED_KWH,FURNACE_COOLING_PRESSURE,CONVERTOR_COOLING_PRESSURE,SPONGE_IRON_MT,SCRAP_MT,PIG_IRON_KG,CPC_KG,SiMn_KG,AluminiumBar_KG,Carbon(C%),Manganese(Mn%),Silicon(Si%),Sulphur(S%),Phosphorous(P%),MT_PRODUCTION_PER_HEAT
1670,1622,6000,8700,0.18,0.21,3.5,12.5,700,100,12.5,2,0.15,0.6,0.7,0.024,0.018,13.5
1675,1618,5200,13260,0.18,0.22,4.5,12,500,60,9.5,2,0.18,0.7,0.8,0.022,0.017,12.5
1670,1625,5500,11550,0.18,0.23,4.5,12,500,60,10,2,0.17,0.7,0.8,0.021,0.017,12.3
1675,1628,6000,8700,0.18,0.23,10.5,4.5,1500,100,12.5,2,0.17,0.5,0.7,0.015,0.016,12
1670,1626,6000,9000,0.19,0.24,10.5,4.5,1500,100,12.5,2,0.18,0.6,0.8,0.016,0.018,12.5
1675,1630,6000,9000,0.2,0.24,10.5,4.5,1500,100,12.5,2,0.19,0.7,0.9,0.018,0.02,11.5
1670,1632,6000,8700,0.2,0.22,10,5,1500,100,12.5,2,0.15,0.6,0.7,0.016,0.018,11
1678,1634,6000,9300,0.18,0.21,10,5,1500,100,12.5,2,0.15,0.6,0.7,0.016,0.018,11
1675,1635,6500,2925,0.18,0.22,12,3,1300,100,12,1.5,0.18,0.7,0.8,0.019,0.017,13
1675,1627,6000,9000,0.15,0.23,11.5,3.5,1400,80,12.5,1.8,0.17,0.7,0.8,0.019,0.017,12
1670,1630,6000,7800,0.16,0.23,11.5,3.5,1400,90,12.8,1.5,0.17,0.7,0.8,0.019,0.017,12
1670,1630,6000,9000,0.18,0.24,12,3.2,1500,100,12.5,2,0.18,0.7,0.8,0.019,0.017,13.2
1670,1625,6000,8100,0.18,0.24,7,5,4500,0,12.5,2,0.22,0.8,0.75,0.022,0.017,17
1670,1628,4500,11475,0,0.22,8,6,4000,20,12.5,2,0.21,0.8,0.75,0.022,0.017,15.5
1680,1632,5000,10500,0.18,0.21,5,10,1500,80,12,2,0.17,0.5,0.7,0.019,0.016,11.5
